index,text
 ,1713
中央,1197
社会,1186
主义,1122
全会,1015
委员,916
发展,895
党,760
"
",724
会主,704
经济,670
同志,572
政治,563
委员会,537
会议,506
改革,456
全国,445
领导,431
革命,382
主席,367
思想,355
新,341
代表,316
我国,315
制度,315
团结,315
共产,309
国家,303
阶级,288
共产党,286
政治局,275
全党,272
中,271
国共,270
中央委员会,268
大会,244
群众,244
中国共产党,240
中央政治局,229
精神,224
体制,223
农村,220
特色,214
文化,212
第十,210
民主,208
完善,207
提高,204
路线,199
农业,197
现代化,191
书记,191
事业,187
	,185
无产,184
毛泽东,183
干部,183
无产阶级,183
贯彻,180
斗争,175
组织,175
讨论,165
提出,163
胜利,161
科学,160
开放,160
作,159
体系,158
历史,155
一九,153
党内,152
基础,150
全体会议,148
体会,148
理论,147
法治,146
党中央,146
纪律,144
指出,143
毛主席,143
国民,142
中央委员,142
国际,139
统一,139
马克思,138
马克,138
一步,137
形势,137
进一步,134
文明,133
世界,132
各族,132
深化,130
努力,130
生活,130
稳定,129
报告,128
北京,127
族人,126
教育,126
各族人民,126
候补,124
战略,124
治理,122
邓小平,122
保障,122
计划,121
国民经济,121
奋斗,120
党员,119
市场,119
增强,118
政策,115
方针,113
检查,113
中共,113
加快,111
创新,108
指导,108
反对,108
依法,107
目标,103
审议,102
推动,102
执政,102
管理,101
建立,101
水平,100
执行,100
各项,99
机制,99
国代,98
机构,98
十八,97
监督,97
国内,96
民族,96
讲话,95
和谐,95
十一,95
宪法,94
总书记,94
原则,94
党和国家,93
健全,92
副,92
解决,92
八届,91
国主,90
九五,89
习近平,89
主持,88
能力,88
维护,87
关系,86
坚定,85
全国代表大会,85
毛泽东思想,85
工业,85
列宁,84
帝国,84
落实,83
一九五,82
改革开放,81
特别,81
十七,81
出席,81
保证,81
治国,80
常务,79
增长,79
作风,78
第一,78
实践,78
时期,78
列席,78
作用,77
协调,77
实施,76
解放,76
发挥,76
服务,75
号召,75
十六,75
中央纪律检查委员会,75
经济体制,74
切实,74
负责,74
经济体,74
旗帜,73
核心,73
重要讲话,72
政府,72
大革命,71
大革,71
党的建设,70
经验,69
运动,69
国人,67
三个,67
活动,67
修正,67
精神文明,66
学习,66
党的领导,66
高举,66
道路,65
环境,65
常务委员会,65
四人帮,64
力量,64
决议,64
十二,63
法律,63
三中,63
文化大革命,63
马克思主义,63
企业,62
农民,62
马克思列宁主义,62
改善,62
中共中央,62
小康,61
建议,60
候补委员,59
成就,59
十三,59
负责同志,59
基层,58
紧密,58
江泽民,58
十九,58
江泽,58
行政,58
局面,57
各国,57
分子,57
着力,57
困难,56
日至,56
城乡,56
锦涛,55
体制改革,55
带领,55
两个,55
创造,55
作出,55
胡锦涛,55
和平,54
部署,54
调整,54
情况,54
长期,54
时代,54
三个代表,53
改进,53
利益,53
内外,53
选举,53
决策,53
二十,53
意义,52
条件,52
这是,52
邓小平理论,52
党章,52
实行,52
依法治国,52
方式,52
林彪,51
构建,51
帝国主义,51
中华,51
资产,51
军队,50
系列,50
经济社会,50
治党,50
大旗,50
不移,50
坚定不移,50
阶段,50
伟大旗帜,50
小康社会,49
公社,49
全党同志,49
持续,49
修正主义,49
责任,48
结构,48
十五,48
统筹,48
素质,48
中心,47
十年,47
修改,47
资产阶级,47
关键,47
反革命,47
腐败,47
自我,47
一届,47
职能,46
十一届,46
军事,46
增加,46
全党全国,46
战线,46
部门,46
始终,46
若干,45
人民公社,45
专政,45
全军,45
对外,45
一百,44
五年,44
党组,44
矛盾,44
队伍,44
意识,44
生态,44
审查,44
跃进,44
人大,44
技术,43
先进,43
党委,43
地区,43
发扬,43
批评,43
人员,43
劳动,42
草案,42
高度,42
总体,42
产品,42
一系,41
分析,41
大胜,41
七届,41
发展观,41
机关,41
刘少奇,41
领袖,41
一系列,41
措施,40
重点,40
全世界,39
科技,39
祖国,39
从严治党,39
华国,39
布局,39
严治,39
十四,39
华,39
华国锋,39
进展,39
地位,39
整顿,39
名单,38
百分之,38
政协,38
中央军,38
健康,38
为首,38
地方,38
党组织,38
伟大胜利,38
确保,38
支持,38
深化改革,38
百分,38
活力,37
研究,37
做好,37
集体,37
克服,37
更好,37
章程,37
分配,36
集团,36
十六届,36
规范,36
艰苦,36
影响,36
职务,36
意见,36
六届,36
物质,35
产量,35
深刻,35
世纪,35
国务院,35
贯彻落实,35
国务,35
实事,35
走,35
九年,34
领域,34
二次,34
资本,34
第三,34
规划,34
人才,34
立法,34
优势,34
反动,34
利于,34
受,34
产业,33
资源,33
中央军事委员会,33
全,33
八年,33
合作,33
保护,33
叶剑英,33
司法,33
法制,33
开创,33
实事求是,32
集中制,32
赵紫阳,32
方向,32
优良,32
四个,32
国防,32
第一次,32
质量,32
紫阳,32
制定,32
宏观,32
历史性,32
民主集中制,32
九次,32
权威,31
建成,31
主席团,31
粉碎,31
综合,31
万岁,31
抓好,31
工程,31
贯彻执行,31
对外开放,31
总,31
生产力,31
十七届,31
风险,31
九六,30
道德,30
听取,30
全国政协,30
工农,30
解放思想,30
国政,30
变化,30
一九六,30
主义者,30
党的基本,30
总路线,30
传统,30
书记处,30
经营,30
主体,30
成员,29
同意,29
新华,29
李先念,29
权利,29
艰苦奋斗,29
把握,29
收入,29
有利于,29
调控,28
大局,28
一九七,28
伟大领袖,28
就业,28
热烈,28
○,28
安定,28
评价,28
全局,28
第九,28
九七,28
人口,28
自觉,28
战争,28
粮食,28
高效,28
文件,28
阴谋,28
人选,27
一年,27
奋斗目标,27
委托,27
六次,27
三中全会,27
列席会议,27
中央书记处,27
工人,27
进程,27
协商,27
节约,27
围绕,27
中华民族,27
分发,27
贡献,27
成效,27
十三届,26
三次,26
国内外,26
三届,26
四中,26
领导人,26
十六大,26
五届,26
届,26
自治,26
强化,26
优化,26
六大,26
指标,26
反腐,26
国际形势,26
和谐社会,26
―,26
破坏,26
因素,25
公平,25
十一届三中全会,25
七年,25
宣传,25
监察,25
陈云,25
党和人民,25
三年,25
繁荣,25
公有,25
提供,25
全党全军,25
全国人大,25
效益,25
出发,25
武装,24
金融,24
成绩,24
五九,24
一中,24
面对,24
高度评价,24
第十七,24
讨论稿,24
宏观调控,24
利用,24
党风,24
九届,24
肯定,24
顾问,24
中央顾问委员会,24
一九五九年,24
七次,24
深远,24
压迫,24
伟大事业,24
第五,24
五九年,24
胡耀邦,24
公共,24
为序,23
秩序,23
调动,23
群众路线,23
自然,23
挑战,23
加大,23
参与,23
抓紧,23
树立,23
纲领,23
反动派,23
格局,23
推荐,23
权力,23
积极性,23
本主,23
发生,23
侵略,23
相结合,23
极性,23
一项,23
证明,23
紧紧,23
第四,23
紧密团结,23
抓住,22
部队,22
三十,22
成立,22
五中,22
反腐败,22
被压迫,22
充分发挥,22
第二次,22
第九次,22
内容,22
解放军,22
第六,22
结起来,22
五八,22
变革,22
五八年,22
做,22
四次,22
提请,22
职责,22
新形势下,22
公有制,22
阶级斗争,22
团结起来,22
第七,22
日电,22
一九五八年,22
结起,22
充分肯定,22
讲,21
一体,21
考验,21
常委,21
周恩来,21
缺点,21
过程,21
永远,21
二届,21
为民,21
成果,21
管理体制,21
批准,21
努力奋斗,21
选人,21
扎实,21
凝聚,21
恩来,21
政党,21
八十,21
党内外,21
夺取,21
知识,21
外交,21
自主,21
主权,21
第八,21
探索,20
强国,20
第十六届,20
财政,20
五年计划,20
运行,20
各级党委,20
期间,20
深入开展,20
二年,20
第六次,20
促,20
共和,20
应对,20
台湾,20
党政,20
开拓,20
社会保障,20
资本主义,20
定性,20
五次,20
美帝国主义,20
共和国,20
大成,20
信心,20
反党,20
优良传统,20
拥护,20
搞,20
坚强,20
恢复,20
十届,20
放在,20
大工,19
艰巨,19
党同,19
规律,19
竞争,19
大跃进,19
严肃,19
周年,19
主持会议,19
十一次,19
执法,19
蓬勃,19
增选,19
力度,19
二中,19
姓氏,19
顺利,19
廉洁,19
第十八届,19
中共中央纪律检查委员会,19
万吨,19
指导思想,19
区域,19
伟大工程,19
动摇,19
不懈,19
第十一次,19
领导人员,19
四中全会,19
体现,19
市场经济,19
正,19
开除,19
批判,19
改造,19
覆盖,19
安定团结,19
苏联,19
第三次,19
群众运动,18
五中全会,18
九十,18
战斗力,18
民生,18
十二届,18
引导,18
实力,18
递补,18
八次,18
公报,18
工农业,18
价格,18
公正,18
复兴,18
爱国,18
五七,18
培养,18
优秀,18
相互,18
城市,18
国有,18
撤销,18
现象,18
五七年,18
独立,18
敌人,18
华人,18
注重,18
一中全会,18
建立健全,18
履行,18
一九五七年,18
进取,18
治理整顿,18
步伐,18
配置,18
集中统一,17
方法,17
半年,17
光荣,17
全国人民代表大会,17
方案,17
违纪,17
法规,17
机遇,17
中统,17
干劲,17
廉政,17
抓,17
警惕,17
十,17
程序,17
给予,17
连续,17
第四次,17
代表大会,17
汪东兴,17
党籍,17
有序,17
家庭,17
时间,17
卫生,17
增产,17
市,17
中国共产党中央委员会,17
东兴,17
八月,17
强大,17
自治区,17
速度,16
机会,16
处分,16
违法,16
公开,16
领导班子,16
四大,16
灾害,16
拟向,16
出席会议,16
推进改革,16
承包,16
管党,16
六中全会,16
安排,16
居民,16
符合,16
整体,16
认真学习,16
多种,16
搞好,16
共产主义,16
六中,16
班子,16
自我批评,16
知识分子,16
重视,16
叛徒,16
正义,16
建国,16
动力,16
迎接,16
王洪文,16
干部队伍,16
反党集团,16
张春桥,16
基层组织,16
城镇,16
全民,16
方针政策,15
繁重,15
自信,15
第七次,15
修改草案,15
一战,15
党要,15
面临,15
候选,15
占,15
二月,15
妄图,15
指示,15
二中全会,15
生动,15
充满,15
全球,15
带头,15
先进性,15
革命家,15
系统,15
第十七届,15
确认,15
高级,15
候选人,15
姚文元,15
第五次,15
空前,15
物质文明,15
性质,15
需求,15
贫困,15
生命,15
担当,15
政治局面,15
揭批,15
明年,15
兴国,15
第十五,14
乔石,14
宏伟,14
农产品,14
中央政治局常委,14
年代,14
农产,14
笔划,14
说,14
切实加强,14
酝酿,14
亚洲,14
活泼,14
环节,14
继承,14
善于,14
李鹏,14
打击,14
走狗,14
理念,14
中华人民共和国,14
生产总值,14
准则,14
四届,14
大力发展,14
列宁主义,14
总值,14
议程,14
成功,14
总体布局,14
有机,14
一大,14
参加,14
务实,14
十年代,14
江青,14
突破,14
权益,14
保卫,14
第八届,14
推向,14
百年,14
供给,14
开幕,14
棉花,14
八五,14
并举,14
反复,13
中国共产党第九次全国代表大会,13
联合,13
医疗,13
形式,13
百万,13
民主权利,13
向前,13
新世纪,13
提交,13
引领,13
高级干部,13
分裂,13
状况,13
主权利,13
高素质,13
民主权,13
党执政,13
四项,13
两条,13
单位,13
城乡居民,13
女,13
重大进展,13
乡居,13
坚持不懈,13
两年,13
事务,13
展开,13
关心,13
自由,13
鼓足,13
平正,13
鼓足干劲,13
友好,13
增补,13
平稳,13
捍卫,13
党风廉政,13
二个,13
修正案,13
工人阶级,13
供应,13
反,13
培育,13
八中全会,13
人民解放军,13
八中,13
所有制,13
公平正义,13
大好,13
包括,13
整党,13
生动活泼,13
正式,13
思想路线,13
五大,13
制造,13
党派,12
大党,12
复辟,12
战略目标,12
勤俭,12
预计,12
凝聚力,12
各项任务,12
牢固,12
民主法制,12
四月,12
弘扬,12
更大,12
结束,12
专家,12
共产党员,12
满意,12
人类,12
家宝,12
着重,12
理想,12
基本路线,12
不愧,12
全面进步,12
改变,12
发动,12
观念,12
客观,12
产权,12
标准,12
要务,12
内部,12
新进展,12
第十八次,12
四十,12
国内形势,12
国际主义,12
第二个,12
各省,12
价值,12
康生,12
红旗,12
血肉,12
腐,12
十中全会,12
优先,12
十八次,12
牢记,12
开,12
征求,12
同心,12
人民军队,12
五百,12
创业,12
人民军,12
十中,12
土地,12
贸易,12
路线斗争,12
初级,12
十五大,12
温家,11
纠正,11
罪行,11
英明,11
教训,11
自力,11
生机,11
先锋,11
二百,11
密切联系,11
意志,11
公民,11
一千,11
正确处理,11
初级阶段,11
自然灾害,11
八日,11
开拓进取,11
遵守,11
学,11
积极因素,11
连续性,11
经济效益,11
充实,11
迈出,11
提前,11
执政党,11
现实,11
平衡,11
温家宝,11
代理,11
预备,11
效率,11
使命,11
定力,11
亿万,11
之间,11
开除党籍,11
同德,11
更生,11
第十二届,11
减少,11
五位,11
集中力,11
统一战线,11
主席台,11
商业,11
物价,11
集中力量,11
愧为,11
同胞,11
指引,11
营造,11
稳中求进,11
检察,11
攻坚,11
富强,11
同心同德,11
苏修,11
求进,11
造就,11
姚依林,11
奠定,11
觉悟,11
国情,11
综合治理,11
服从,11
林,11
刘伯承,11
平等,11
禁止,11
自力更生,11
紧紧围绕,11
广大党员,11
各项事业,11
投入,11
转移,11
富裕,11
动员,11
朱德,11
一部,11
团结奋斗,11
不愧为,11
帝国主义者,11
战胜,11
标志,11
创造性,10
大意,10
行使,10
功夫,10
十五届,10
贫下中农,10
第一个,10
办好,10
战略部署,10
十八日,10
毫不动摇,10
激发,10
一月,10
当家作主,10
家学,10
创建,10
党的纪律,10
制约,10
当家,10
香港,10
执政为民,10
一九八,10
设施,10
一条,10
着眼,10
锐意,10
官僚,10
危险,10
第十二次,10
走向,10
本国,10
第十三届,10
担任,10
预备会,10
提倡,10
打倒,10
预备会议,10
坚决执行,10
九中,10
五位一体,10
投资,10
专家学者,10
巨大成就,10
美帝,10
提名,10
学者,10
事件,10
尊重,10
优越,10
不动,10
决胜,10
掌声,10
越南,10
中共中央政治局,10
公共服务,10
各类,10
精力,10
各条战线,10
控制,10
董必武,10
坚实,10
党的路线,10
港澳,10
澳门,10
超额,10
住,10
目的,10
危机,10
责任制,10
战备,10
四日,10
战略部,10
优越性,10
两面,10
表现,10
第十九次,10
国统,10
十四大,10
下中农,10
作主,10
九中全会,10
全面提高,10
纪检监察,10
振兴,10
金融危机,10
贫下,10
壮大,10
中农,10
大国,10
巡视,10
命运,10
本世纪,10
办事,10
纪检,10
力争,10
思想道德,10
层次,10
领导集体,10
鼓励,10
工作作风,10
胡启立,10
平反,10
代理人,10
丰收,10
九八,10
十四日,10
各条,10
十二次,10
邦国,9
崇高,9
当代,9
十七次,9
全场,9
一小,9
分配制度,9
李德,9
一批,9
赵乐际,9
很大,9
摆在,9
奋发,9
光辉,9
人心,9
效能,9
求真,9
创造力,9
决定性,9
梦,9
李德生,9
二日,9
集体领导,9
老一辈,9
十周,9
主动,9
城镇化,9
民族团结,9
隆重,9
稳妥,9
一辈,9
基调,9
新格局,9
宝贵,9
时刻,9
拓宽,9
交流,9
神圣,9
在实践中,9
鼓舞,9
充分认识,9
使党,9
立党为公,9
中国人民解放军,9
七十,9
自我完善,9
势头,9
经济秩序,9
十年规划,9
本利,9
拉丁美洲,9
方位,9
第十九届,9
总产,9
重大意义,9
非洲,9
根本利益,9
赋予,9
对党,9
拉丁,9
大幅,9
稳定性,9
用人,9
幅度,9
信念,9
建党,9
实践证明,9
完备,9
手段,9
强调指出,9
规模,9
模范,9
初步,9
吴邦国,9
主题,9
首要,9
国力,9
开发,9
导向,9
理政,9
美洲,9
综合国力,9
政治路线,9
年来,9
紧抓,9
关键在于,9
配制,9
位置,9
大干,9
求真务实,9
监管,9
极其重要,9
超额完成,9
增产节约,9
九十年代,9
确立,9
分配制,9
政策措施,9
请求,9
一百年,9
十四届,9
要素,9
改革方案,9
十日,9
一心,9
城乡人民,9
乡人,9
第十五届,9
趋势,9
十周年,9
五十,9
九十年,9
第十七次,9
殖民,8
推行,8
这场,8
选拔,8
官僚主义,8
过渡,8
下半年,8
环境保护,8
颠覆,8
局势,8
翻一番,8
迫切,8
和平统一,8
孤立,8
途径,8
团体,8
非公,8
原理,8
依法行政,8
上层,8
上半年,8
・,8
面前,8
战略决策,8
前,8
互利,8
非公有,8
莫斯科,8
重要性,8
悼念,8
步骤,8
着眼于,8
结构调整,8
地为,8
抓纲治国,8
充满活力,8
叶,8
态度,8
第十一届,8
相适应,8
一伙,8
亲密,8
职业,8
党政军,8
商品,8
基本纲领,8
表率,8
司令部,8
理顺,8
全方位,8
消费,8
天下,8
朝气,8
保,8
六一,8
一小撮,8
产业结构,8
科学技术,8
文化教育,8
回顾,8
导师,8
倾向,8
约束,8
一九六一年,8
优异,8
阐明,8
国有企业,8
人民代表大会,8
努力提高,8
杨尚昆,8
提升,8
选出,8
英勇,8
协同,8
千方,8
勇于,8
战友,8
下功夫,8
首位,8
程度,8
党性,8
广大干部,8
千方百计,8
千五,8
一国两制,8
原定,8
激烈,8
按劳分配,8
产值,8
问责,8
四年,8
基础设施,8
担负,8
法定,8
事情,8
义务,8
相适,8
五二,8
降低,8
建筑,8
历史进程,8
财产,8
庆祝,8
唯物,8
忠诚,8
下半,8
右倾,8
共享,8
指导方针,8
政府职能,8
气氛,8
支援,8
万众,8
大好形势,8
真理,8
当选,8
上半,8
一九五二年,8
办,8
忠实,8
流通,8
基本建设,8
本原,8
积累,8
人士,8
主任,8
经受,8
一支,8
特征,8
武器,8
上层建筑,8
省,8
专业,8
五二年,8
发动群众,8
党和政府,8
战略性,8
服务体系,8
一部分,8
学校,8
百计,8
准确,8
司令,8
努力实现,8
实实,8
功能,7
力争上游,7
兼顾,7
纪律检查,7
基础性,7
机遇期,7
整风,7
李瑞环,7
永不,7
落到,7
首创精神,7
惩治,7
党规,7
实处,7
编制,7
渠道,7
不想,7
设备,7
时机,7
兄弟,7
优先发展,7
全意,7
马列,7
瞩目,7
九月,7
小组,7
行业,7
轨道,7
背叛,7
种种,7
差距,7
持久,7
管理制,7
战斗任务,7
大团,7
特权,7
十六次,7
批,7
长治久安,7
第十四届,7
活用,7
发表,7
扶贫,7
头脑,7
共同富裕,7
相,7
形式主义,7
亿斤,7
劳动者,7
紧迫,7
第五届,7
材料,7
两面派,7
落到实处,7
走资,7
消除,7
转,7
提高警惕,7
秋里,7
基本原理,7
一百二,7
舆论,7
上游,7
八十年,7
科技进步,7
前列,7
大团结,7
余秋里,7
之二,7
现代农业,7
设置,7
根本保证,7
起点,7
严明,7
统一行动,7
万众一心,7
适合,7
会上,7
这一,7
看齐,7
大业,7
指挥,7
陈伯达,7
广大群众,7
与时俱进,7
多年,7
完全正确,7
争上游,7
纪委,7
所作,7
总理,7
世界观,7
产能,7
净化,7
不开,7
分工,7
优良作风,7
顺利进行,7
举世,7
陈锡联,7
暂时,7
一日,7
应,7
结成,7
政治协商,7
清醒,7
生态环境,7
几个,7
纲要,7
独立自主,7
工农兵,7
多方面,7
机会主义,7
团结一致,7
领导核心,7
法制建设,7
只能,7
一场,7
民主党派,7
钢,7
百二,7
一行,7
促生产,7
多方,7
不断完善,7
农村基层,7
马列主义,7
纪登奎,7
享有,7
举世瞩目,7
首创,7
联系实际,7
斗,7
实干,7
长治,7
带动,7
接受,7
野心,7
决不允许,7
七中全会,7
资源配置,7
执纪,7
倡导,7
前提,7
率先,7
高,7
著作,7
全心全意,7
台阶,7
严峻,7
风气,7
2007,7
久安,7
曲折,7
面貌,7
革命斗争,7
共同努力,7
指战员,7
形态,7
二五,7
医疗卫生,7
朝气蓬勃,7
一体化,7
改,7
民主党,7
十个,7
肩负,7
充分准备,7
管理制度,7
新党,7
第十六次,7
幸福,7
违反,7
大群,7
全心,7
群众性,7
立足,7
统一大业,7
田纪云,7
动乱,7
保障制度,7
已有,7
光明,7
二十三,7
活学活用,7
走资派,7
阴谋家,7
议题,7
脱贫,7
居安思危,7
投票,7
李克强,7
认真执行,7
多党合作,7
一点,6
一九七九年,6
野心家,6
轻工业,6
生产能力,6
认真贯彻,6
大中,6
十一五,6
先锋队,6
一副,6
扶持,6
宏伟目标,6
经验教训,6
纯洁,6
七九年,6
两条路,6
兼备,6
清正,6
一五,6
十二月,6
作人,6
领导权,6
面向,6
大幅度,6
尉健行,6
紧密结合,6
社会治安,6
尼亚,6
审判,6
错综复杂,6
忠于,6
核实,6
丁关根,6
一件,6
强军,6
重大成就,6
阵营,6
人均,6
本质,6
基本国策,6
课题,6
三日,6
平均,6
归功于,6
总产值,6
限度,6
增进,6
勤俭建国,6
十三次,6
十月,6
引向,6
消灭,6
区别,6
十二五,6
全过程,6
德才兼备,6
有利条件,6
救灾,6
举措,6
抓住机遇,6
水利,6
六二年,6
好转,6
几亿,6
德才,6
闭幕,6
高潮,6
稳步,6
调节,6
完整,6
任何人,6
学分,6
发达,6
办法,6
一十,6
煤,6
理论体系,6
律师,6
守法,6
并存,6
缩小,6
权责,6
心情,6
祖国统一,6
六年,6
科学分析,6
效应,6
危害,6
分开,6
十次,6
高涨,6
决心,6
治安,6
台湾同胞,6
八百,6
工厂,6
六日,6
化解,6
大力加强,6
薄弱,6
二十八,6
几年,6
习仲勋,6
纲领性,6
长远,6
苏共,6
二十一,6
共处,6
始终保持,6
忧患意识,6
无记名,6
预防,6
一种,6
蓬勃发展,6
坚定信心,6
比例,6
力加,6
国民党,6
群,6
第八次,6
非公有制,6
坚实基础,6
密结,6
终身,6
查处,6
马克思主义者,6
一九六二年,6
本领,6
错综,6
百分之二十,6
分不开,6
状态,6
接班,6
检察机关,6
十大,6
支撑,6
实际行动,6
远景,6
服务业,6
明显改善,6
本法,6
法律法规,6
新型,6
同体,6
粮食安全,6
优异成绩,6
国际共产主义运动,6
集体经济,6
民政,6
教条,6
健行,6
硬,6
紧张,6
何人,6
国策,6
政治文明,6
民党,6
万里,6
七九,6
六二,6
秘书,6
许其亮,6
所说,6
律法,6
宗旨,6
依靠群众,6
职工,6
英明领袖,6
锐意改革,6
三千,6
全面落实,6
公司,6
保持稳定,6
信息,6
第一副,6
归功,6
农民收入,6
完全同意,6
岗位,6
五项,6
第十三次,6
两条路线,6
勃发,6
品种,6
